feature,importance
skewness,0.13751483943634418
qrs_duration,0.11853044892611064
kurtosis,0.1166341773552209
spectral_bandwidth,0.11268425014077231
zero_crossing_rate,0.09301003288328154
dominant_frequency,0.06880365795052723
r_peak_amplitude,0.06392773114833285
amplitude_max,0.05409409618895131
amplitude_std,0.04965108919172478
amplitude_min,0.04329987729301175
spectral_rolloff,0.030160639428957393
amplitude_range,0.0296341249678081
spectral_centroid,0.02620227636248047
amplitude_mean,0.014563093715390517
signal_energy,0.01375331558495389
signal_power,0.012708502520754056
rms,0.01170520935520929
t_wave_presence,0.003122637550168797
